UCL_CODE_2021,name,area_sqkm,population,lat,lon,state
101001,Sydney,2194.1731,4698656,-33.84161577119394,150.96691131501072,New South Wales
102001,Canberra - Queanbeyan (Queanbeyan Part),28.7867,37511,-35.366427966647336,149.22022756860255,New South Wales
102002,Central Coast,332.9065,325255,-33.36590271056653,151.42889590889865,New South Wales
102003,Gold Coast - Tweed Heads (Tweed Heads Part),67.678,63721,-28.22237272038284,153.5295801783509,New South Wales
102004,Newcastle,296.9898,348539,-32.95096987524432,151.6772658310394,New South Wales
102005,Wollongong,224.4836,280153,-34.471428234497466,150.846091519943,New South Wales
111001,Albury - Wodonga (Albury Part),74.9112,53677,-36.05032242221273,146.94882711006437,
111002,Coffs Harbour,77.9672,51069,-30.312302978046432,153.09573911807874,
111003,Maitland (NSW),122.9001,89597,-32.75009779133812,151.58714135634807,
112001,Armidale,30.2163,21312,-30.511801314920213,151.6660793680099,
112002,Bathurst,54.5543,36230,-33.41512247424397,149.58260647922478,
112003,Blue Mountains,79.1763,30049,-33.720882152376554,150.38004084388143,
112004,Bowral - Mittagong,55.9023,23762,-34.47734077483966,150.44102395521026,
112005,Cessnock,21.7753,23211,-32.829759518507224,151.3481584156723,
112006,Dubbo,85.7616,38783,-32.24496849187918,148.61128454634823,
112007,Echuca - Moama (Moama Part),28.019,6654,-36.09068590415897,144.7297943995226,
112008,Forster - Tuncurry,32.6648,20554,-32.19290920984727,152.51990921913057,
112009,Goulburn,55.5759,23963,-34.747942634855946,149.72776423573518,
112010,Griffith,47.93,20799,-34.27554093610734,146.05578552786588,
112011,Kurri Kurri,26.1116,20015,-32.81009554456026,151.4718413738409,
112012,Lismore (NSW),40.251,27916,-28.818571519148023,153.29339160405817,
112013,Mildura - Buronga (Buronga Part),5.8912,2400,-34.17576440881116,142.19659064941482,
112014,Morisset - Cooranbong,43.7484,22150,-33.09530192017611,151.49014375041816,
112015,Nowra - Bomaderry,37.9355,33583,-34.87792717042442,150.5987708637308,
112016,Orange,56.8283,40127,-33.274766661666646,149.1000451337214,
112017,Port Macquarie,43.8921,47793,-31.45253010082229,152.89441574423628,
112018,Tamworth,38.2173,35415,-31.100129653986524,150.9138624824542,
112019,Wagga Wagga,71.5314,49686,-35.14427697346109,147.3614659195127,
113001,Ballina,15.6931,18532,-28.857743747159365,153.5663349090791,
